epoch,loss,type
0,0.0733268220716857,train
1,0.0673096933930823,train
2,0.054941898570295,train
3,0.0430457545611638,train
4,0.0349281235889948,train
5,0.030453834062289,train
6,0.0280112129374527,train
7,0.0263967735702885,train
8,0.0251438717495723,train
9,0.0239122468137252,train
10,0.0224080492608445,train
11,0.0212404052671939,train
12,0.0204415459301626,train
13,0.0198502005273434,train
14,0.0193505262675598,train
15,0.018862445977444,train
16,0.0184439298048529,train
17,0.0180588482764759,train
18,0.0177361840432507,train
19,0.0174063711622857,train
20,0.0171255890429428,train
21,0.0168152850095848,train
22,0.016573209626031,train
23,0.0163359926172154,train
24,0.0161090120335813,train
25,0.0159018999061117,train
26,0.0156747277296071,train
27,0.0155159258327194,train
28,0.0152877979806352,train
29,0.0151172259577088,train
30,0.0149393931061039,train
31,0.0147588959847548,train
32,0.0146409534623073,train
33,0.0144756576677005,train
34,0.0143348351221226,train
35,0.0141448124980258,train
36,0.0140349931431253,train
37,0.0138982870751294,train
38,0.0137601794744161,train
39,0.0136507809965373,train
40,0.013502653584601,train
41,0.0133907507020916,train
42,0.0132769807434571,train
43,0.0131777233167585,train
44,0.0130618491128848,train
45,0.0129682914123134,train
46,0.0128431686104414,train
47,0.0127568238777707,train
48,0.0126808444776267,train
49,0.012582137767758,train
0,0.0700961421118842,test
1,0.0664490867473461,test
2,0.0506452020150643,test
3,0.038754695143523,test
4,0.0333562608083089,test
5,0.0297421899866174,test
6,0.027806874261079,test
7,0.0263086049362465,test
8,0.0251855926089816,test
9,0.0239086284354881,test
10,0.0225403786906489,test
11,0.0215940767994633,test
12,0.0208508139716254,test
13,0.0204181912810714,test
14,0.0199222376222963,test
15,0.0193862234362849,test
16,0.0190143426488947,test
17,0.0186318958529719,test
18,0.0182607593448073,test
19,0.0180767131346243,test
20,0.0176822153621249,test
21,0.0176116534056486,test
22,0.0172099654338977,test
23,0.0169966672897338,test
24,0.0168191850379661,test
25,0.0165838778566431,test
26,0.0164621971430601,test
27,0.0161261455147354,test
28,0.0159721695158216,test
29,0.0158407976945241,test
30,0.01568391256509,test
31,0.015530543703503,test
32,0.0153565018530245,test
33,0.0152036074444099,test
34,0.0150390630050941,test
35,0.0149318524819833,test
36,0.0149045694810372,test
37,0.0149029392560323,test
38,0.0146029582906652,test
39,0.014541119700891,test
40,0.0144473442059976,test
41,0.0143059113043325,test
42,0.0140813146184991,test
43,0.0140333361943562,test
44,0.0138877612007988,test
45,0.0137640994478155,test
46,0.0137435528366654,test
47,0.0136264463212755,test
48,0.0135421614770536,test
49,0.0134377970801459,test
50,0.0124810431503704,train
51,0.0123932304540645,train
52,0.0123306833304071,train
53,0.0122190858563425,train
54,0.0121450907655159,train
55,0.0120723300591926,train
56,0.0120014332882898,train
